Blog	years	most	than	make	into	would	today	two	his	don	day	because	had	see	any	many	post	way	these	still	use	know	then	read	back	work	take	were	only	well	want	much	world	also	video	year	while	need	last	could	best	week	those	made	may	before	too	why	very	right	even	something	think	being	around	going	down	google	through	should	things	where	good	free	next	off	might	top	said	using	same	every	few	between	look	long	got	great	better	news	story	her	big	used	little	online	internet	full	days	always	media	since	help	show	really	ever	three	working	company	times	live	real	doesn	own	say	life	site	lot	part	social	business	him	find	called	making	sure	without	let	email	thing	old	ago	different	come	blog	app	play	change	keep	never	end	friends	hard	does	both	did	makes	start	users	future	number	high	comes	buy	though	easy	actually	twitter	art	music	another	links	each	available	data	information	set	com	she	reading	everyone	money	instead	bad	left	says	didn	small	thanksgiving	web	including	home	yet	point	case	list	love	stop	black	recently	support	open	found	try	game	talk	almost	check	second	such	less	content	getting	book	away	night	month	during	isn	nbsp	holiday	already	looking	family	man	public	report	once	via	doing	told	early	bit	often	york	service	past	interesting	coming	later	however	friday	million	line	run	give	continue	means	based	page	everything	until	youtube	able	finally	far	process	stuff	deal	again	turn	happy	whole	recent	comments	space	digital	behind	idea	design	four	feature	done	least	under	course	quite	major	group	share	earlier	technology	problem	put	enough	short	store	team	community	anything	link	together	shows	feel	click	search	fact	months	important	add	place	nothing	whether	power	probably	house	phone	writing	hit	update	american	images	version	original	trying	pretty	won	questions	videos	several	example	project	having	system	government	started	weeks	website	must	simple	watch	along	five	network	mobile	facebook	control	went	itself	thought	changes	women	november	needs	call	image	hours	science	else	tell	create	program	fast	city	takes	latest	features	anyone	favorite	order	white	ways	view	photos	couple	become	thanks	guide	lost	across	school	released	action	customers	results	remember	article	user	software	according	minutes	took	amp	likely	photo	launch	against	either	believe	key	below	asked	san	side	tools	added	state	build	experience	sometimes	product	close	goes	local	press	president	person	seems	above	pay	secret	hand	head	someone	series	came	awesome	large	posted	face	android	reason	step	decided	single	amazon	known	six	gets	chance	running	please	text	following	wants	former	places	worth	cost	non	tuesday	yes	sites	services	access	level	platform	rather	kind	include	name	possible	hope	voice	question	starting	understand	national	value	tool	hear	apps	screen	owners	microsoft	move	interview	terms	happen	care	price	stories	human	film	taking	cool	given	creating	related	reports	review	device	marketing	write	yourself	building	mark	others	tech	saying	originally	books	john	america	learned	popular	party	personal	weekend	performance	entire	wrote	ability	wasn	industry	obama	david	half	written	companies	points	appeared	maybe	spent	center	reasons	due	drive	rest	items
Gothamist	2	2	1	1	3	1	1	4	5	5	5	2	2	3	1	2	2	2	0	2	1	0	1	0	1	0	1	1	1	3	1	0	0	4	3	4	2	2	4	1	3	4	1	0	2	2	2	0	0	1	2	0	1	2	1	0	2	1	0	1	0	5	1	2	0	0	0	2	2	0	0	2	0	0	0	1	0	0	1	1	1	2	1	2	1	0	0	0	1	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	1	3	2	1	1	0	0	1	2	0	1	1	1	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	9	0	2	1	0	0	1	2	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	100	2	0	0	1	7	4	0	2	0	0	0	1	1	0	5	0	1	1	2	0	0	1	2	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	2	2	0	1	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	8	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	2	0	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Instapundit	2	3	3	0	2	2	8	1	5	5	0	4	1	1	2	3	0	2	0	5	0	0	0	2	13	2	0	5	2	0	1	1	3	4	6	2	0	2	2	1	2	0	0	0	3	0	3	5	2	0	5	3	3	0	0	1	1	0	0	0	0	0	2	0	1	4	1	1	2	0	0	0	0	2	0	1	0	0	0	1	3	0	3	0	1	2	0	0	2	0	4	1	0	0	0	1	0	0	3	0	0	1	2	0	0	0	3	1	1	0	5	6	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	3	0	0	1	1	2	0	1	0	0	1	0	2	0	1	0	2	1	0	1	0	2	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	1	4	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	3	1	0	2	0	2	0	1	0	1	5	2	0	0	0	1	0	1	1	1	1	0	2	5	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	3	0	0	2	0	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	1	0	1	0	0	3	0	1	0	0	0	1	1	0	5	0	0	0	6	2	2	3	0	0	0	0	0	0	0	0	1	1	1	4	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	5	0	1	0	0	2	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	1	4	0	0	0	0	4	0	0	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	1	0	16	1	1	0	1	0	0	0	0	0	0	0	0	0	0
BuzzMachine	1	1	1	0	0	2	2	0	2	0	3	1	0	2	0	0	6	0	0	0	0	1	1	0	1	2	0	1	0	1	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	7	0	0	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	1	5	0	2	0	1	0	1	2	1	2	0	4	0	0	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Sifry's Alerts	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	1	0	0	0	3	2	1	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ongoing by Tim Bray	0	0	1	1	2	0	0	0	1	1	1	1	1	1	2	2	0	1	1	0	0	0	0	0	1	3	0	1	1	2	1	1	1	0	0	2	0	3	0	0	0	0	2	0	0	0	1	1	0	4	0	0	2	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	3	0	0	0	1	0	0	0	2	0	0	1	0	0	2	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
The Viral Garden	6	24	9	20	10	30	4	8	8	14	21	40	36	24	8	23	41	28	26	14	20	18	22	9	19	17	7	33	16	14	34	8	4	10	0	18	8	8	14	8	8	7	10	7	12	9	6	24	25	7	18	10	30	18	7	11	2	0	4	17	6	15	16	6	10	6	7	4	13	31	16	13	22	2	1	8	9	13	10	1	2	5	13	1	3	8	0	3	8	6	122	3	11	5	9	3	3	1	13	1	3	2	3	25	7	2	11	14	7	134	13	3	9	4	4	11	2	10	3	13	1	5	4	7	46	0	2	3	3	10	5	11	1	5	6	11	3	7	10	1	5	1	2	2	5	2	10	71	0	6	8	8	3	0	0	6	0	22	1	8	9	3	5	3	9	0	14	5	0	1	1	1	1	6	8	12	4	2	1	6	2	2	12	4	1	2	3	7	3	8	5	15	7	0	3	3	1	8	7	0	0	2	10	0	1	0	0	3	9	14	3	2	8	9	2	5	1	4	12	4	1	0	0	2	0	10	1	7	0	8	0	0	0	2	1	1	1	3	1	3	2	1	1	5	23	6	0	1	15	0	5	0	3	6	1	3	1	0	5	8	1	0	5	4	5	1	1	5	10	1	20	4	2	2	3	3	3	5	5	10	3	2	1	5	11	0	0	5	2	2	0	0	0	1	7	3	11	6	0	10	4	4	3	0	0	14	5	3	3	2	0	4	0	6	0	10	0	7	7	11	1	0	0	6	1	1	4	1	8	11	11	0	0	0	1	1	0	0	2	1	0	6	5	0	6	11	2	4	0	0	1	1	1	19	5	3	2	4	0	2	1	8	3	7	0	0	0	2	1	5	1	1	3	1	7	1	1	6	1	8	2	5	3	0	0	0	5	3	1	3	0	1	1	14	9	1	3	3	0	0	0	10	0	6	3	0	1	0	1	5	0	3	0	23	3	0	0	1	2	0	0	1	8	2	1	5	1	1	0	3	10	1	2	2	0	0	13	0	11	6	3	0	1	0	0	2	0	1	3	1	2	3	1	0	4	5	2	6	0	0	0	0	15	9	4	4	2	11	0	4	0	0	1	2	5	7	0	6	2	0	1	6	0	8	6	0	0	2	5	29	1	0	4	0	3	5	2	1	0	0
Cool Hunting	4	5	2	1	8	1	1	2	3	2	4	2	1	0	1	2	1	0	3	2	0	0	0	0	1	6	1	1	1	1	2	3	8	1	3	8	6	0	8	0	6	5	3	5	1	1	3	0	4	0	3	3	0	0	2	2	1	0	2	0	2	1	0	2	0	1	1	5	0	0	0	1	3	1	6	3	0	1	0	0	2	3	0	1	2	1	0	0	1	1	0	1	0	2	1	6	0	1	0	0	0	2	0	1	0	2	0	1	2	0	0	2	1	1	2	2	0	1	0	1	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	3	0	2	1	3	0	0	7	2	0	0	1	1	3	3	1	0	3	50	0	0	0	0	0	0	0	1	0	2	1	3	3	0	2	1	1	0	0	4	0	1	2	0	1	1	0	0	1	2	0	4	1	0	4	0	1	1	0	0	3	1	1	0	1	4	0	0	0	0	1	0	0	4	1	1	2	0	1	0	3	0	0	5	0	1	50	0	13	1	2	0	0	0	1	2	3	1	1	0	0	0	2	1	0	1	0	4	1	11	0	0	0	0	2	0	4	1	0	2	0	0	0	0	0	1	1	1	5	0	2	0	0	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	3	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	4	1	0	0	0	0	0	0	2	0	1	1	0	3	0	1	2	0	1	0	0	0	5	1	3	0	3	1	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0	0	1	3	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	1	0	0	3	0	2	0	0	0	0	0	0	6	0	0	1	0	0	0	1	2	3	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	4	0	0	0	1	2	0	1	0	1	1	3	0	2	1	0	1	0	0	0	2	0	0	1	2	0	2
flagrantdisregard	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	3	0	1	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Latest Items from TreeHugger	0	1	3	1	5	0	0	1	1	2	1	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	2	0	2	0	0	1	2	1	0	1	0	2	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	2	1	1	2	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	1	0	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	2	2	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	2	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
Scobleizer	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	2	1	1	0	0	0	0	0	2	0	0	0	0	3	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	1	0	7	0	1	0	1	0	0	4	0	3	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Joystiq	1	6	9	6	4	2	5	14	3	8	4	3	1	46	7	6	2	2	5	3	44	1	3	1	3	2	4	3	7	6	5	4	7	22	9	19	6	1	10	2	3	12	8	1	4	4	4	0	1	3	2	1	1	4	5	0	2	0	6	7	2	2	5	13	17	10	5	1	4	2	2	4	8	3	2	0	0	2	3	4	4	0	2	2	1	10	0	8	4	0	0	5	1	3	0	1	7	0	1	2	10	4	3	0	0	3	2	1	2	2	0	3	3	3	1	2	3	2	40	2	0	1	3	1	1	6	10	1	1	0	3	6	2	2	3	2	0	5	2	1	5	2	2	3	7	0	1	3	3	4	2	0	3	11	0	0	2	0	0	10	0	4	2	1	2	1	0	0	2	1	8	3	2	3	0	2	0	0	18	5	2	10	2	0	74	0	2	3	1	2	2	9	0	0	0	0	3	1	4	160	5	4	2	2	0	0	4	1	1	0	3	7	5	0	0	7	3	0	4	3	0	17	11	8	1	2	11	3	8	2	1	4	0	4	0	2	0	0	1	0	4	0	1	2	42	13	3	0	1	0	2	2	0	0	0	0	1	2	0	2	2	0	0	1	1	0	9	10	2	0	0	6	1	0	1	1	0	1	0	5	0	1	1	1	1	0	1	0	9	19	2	1	10	3	0	0	0	0	1	3	0	1	0	4	1	0	2	0	4	0	4	1	2	4	5	0	3	0	3	0	2	0	6	0	7	0	4	0	1	0	3	4	0	1	0	4	3	1	0	2	0	1	2	1	1	1	2	8	3	5	1	7	2	2	1	0	0	0	1	3	2	0	10	2	0	25	0	0	0	1	1	0	0	2	0	3	0	1	1	0	0	2	0	1	0	1	0	1	2	2	6	0	2	0	5	1	0	4	3	0	4	0	0	1	1	3	1	1	2	0	1	40	0	2	0	2	0	0	7	2	2	0	0	1	1	3	5	1	0	3	0	0	1	0	0	5	0	0	2	0	0	1	6	4	13	0	0	41	2	1	8	0	0	0	0	0	1	1	3	2	4	1	0	1	0	1	2	0	0	1	41	3	0	1	0	0	0	0	5	2	0	0	1	0	0	0	1	5	0	0	1	41	1	0	0	0	4	2	0	4
Download Squad	4	10	8	11	16	7	7	7	0	4	2	3	4	51	12	6	4	7	8	19	56	6	6	4	5	6	6	4	13	13	7	6	2	35	8	5	14	3	6	4	6	7	8	7	11	11	7	2	5	10	13	7	1	10	7	6	5	36	7	11	2	8	2	7	11	4	3	6	1	16	3	2	6	2	4	3	3	2	3	3	1	0	1	1	6	1	8	2	4	2	0	8	4	2	3	4	4	3	2	2	16	4	4	4	3	1	2	6	2	2	1	1	4	7	3	6	4	2	46	1	0	1	2	1	2	49	1	5	3	2	0	3	2	5	4	1	1	3	11	2	5	0	2	2	15	4	4	2	1	9	2	0	1	23	1	1	11	7	0	6	1	0	2	2	6	1	0	3	0	21	5	1	11	3	1	6	1	0	0	3	21	4	2	2	1	0	4	13	1	5	1	3	2	0	4	0	8	4	3	160	1	8	2	0	0	2	1	7	3	1	1	4	8	0	0	8	2	8	3	4	5	0	0	3	4	0	6	3	6	11	1	3	8	7	9	4	5	2	1	2	1	0	4	2	42	2	0	2	2	1	1	13	4	4	3	4	3	1	0	2	0	2	0	0	3	0	15	4	1	3	1	1	2	2	6	13	2	12	6	11	1	1	3	7	8	1	3	0	4	8	1	10	21	2	1	2	2	1	3	2	0	6	3	8	0	3	2	3	2	1	1	2	2	1	13	8	2	0	2	2	5	0	2	3	6	5	0	0	4	0	5	4	1	0	1	5	14	5	1	1	0	3	3	0	1	0	4	1	0	4	0	13	3	0	2	0	0	9	6	0	0	0	1	1	0	5	3	3	0	3	1	1	1	1	0	6	0	11	4	0	0	0	1	2	1	0	0	2	3	1	0	1	6	3	1	3	1	1	0	0	25	0	3	0	2	4	2	0	10	0	7	41	2	1	0	0	7	3	2	1	0	3	4	5	6	0	3	9	1	1	4	1	1	1	0	1	0	0	1	6	0	12	6	0	13	1	0	43	4	0	3	0	0	0	0	0	1	0	2	0	0	3	0	0	1	0	0	1	3	1	42	0	0	0	0	1	2	2	0	4	5	0	5	0	1	0	0	4	0	0	0	41	1	0	2	0	3	0	2	3
